seq	delay
662	0.309999999999
663	0.309999999999
664	0.610000000001
665	0.610000000001
666	0.610000000001
667	0.41
668	0.41
669	0.41
670	0.209999999999
671	0.209999999999
672	0.209999999999
673	0.51
674	0.51
675	0.51
676	0.309999999999
677	0.309999999999
678	0.309999999999
679	0.610000000001
680	0.610000000001
681	0.610000000001
682	0.41
683	0.41
684	0.41
685	0.209999999999
686	0.209999999999
687	0.209999999999
688	0.51
689	0.51
690	0.51
691	0.309999999999
692	0.309999999999
693	0.309999999999
694	0.610000000001
695	0.610000000001
696	0.610000000001
697	0.41
698	0.41
699	0.41
700	0.209999999999
701	0.209999999999
702	0.209999999999
703	0.51
704	0.51
705	0.5
706	0.299999999999
707	0.299999999999
708	0.299999999999
709	0.6
710	0.6
711	0.6
712	0.4
713	0.4
714	0.4
715	0.200000000001
716	0.200000000001
717	0.200000000001
718	0.5
719	0.5
720	0.5
721	0.299999999999
722	0.299999999999
723	0.299999999999
724	0.6
725	0.6
726	0.6
727	0.4
728	0.4
729	0.4
730	0.200000000001
731	0.200000000001
732	0.200000000001
733	0.5
734	0.5
735	0.5
736	0.299999999999
737	0.299999999999
738	0.299999999999
739	0.6
740	0.6
741	0.6
742	0.4
743	0.4
744	0.4
745	0.200000000001
746	0.200000000001
747	0.200000000001
748	0.5
749	0.5
750	0.5
751	0.299999999999
752	0.299999999999
753	0.299999999999
754	0.6
755	0.6
756	0.6
757	0.4
758	0.4
759	0.4
760	0.200000000001
761	0.200000000001
762	0.200000000001
763	0.5
764	0.5
765	0.5
766	0.299999999999
767	0.299999999999
768	0.299999999999
769	0.6
770	0.6
771	0.6
772	0.4
773	0.4
774	0.4
775	0.200000000001
776	0.200000000001
777	0.200000000001
778	0.5
779	0.5
780	0.5
781	0.299999999999
782	0.299999999999
783	0.299999999999
784	0.6
785	0.6
786	0.6
787	0.4
788	0.4
789	0.4
790	0.200000000001
791	0.200000000001
792	0.200000000001
793	0.5
794	0.5
795	0.5
796	0.299999999999
797	0.299999999999
798	0.299999999999
799	0.6
800	0.6
801	0.6
802	0.4
803	0.4
804	0.4
805	0.200000000001
806	0.200000000001
807	0.200000000001
808	0.5
809	0.5
810	0.5
811	0.299999999999
812	0.299999999999
813	0.299999999999
814	0.6
815	0.6
816	0.6
817	0.4
818	0.4
819	0.4
820	0.200000000001
821	0.200000000001
822	0.200000000001
823	0.5
824	0.5
825	0.5
826	0.299999999999
827	0.299999999999
828	0.299999999999
829	0.6
830	0.6
831	0.6
832	0.4
833	0.4
834	0.4
835	0.200000000001
836	0.200000000001
837	0.200000000001
838	0.5
839	0.5
840	0.5
841	0.299999999999
842	0.299999999999
843	0.299999999999
844	0.6
845	0.6
846	0.6
847	0.4
848	0.4
849	0.4
850	0.200000000001
851	0.200000000001
852	0.200000000001
853	0.5
854	0.5
855	0.5
856	0.299999999999
857	0.299999999999
858	0.299999999999
859	0.6
860	0.6
861	0.6
862	0.4
863	0.4
864	0.4
865	0.200000000001
866	0.200000000001
867	0.200000000001
868	0.5
869	0.5
870	0.5
871	0.299999999999
872	0.299999999999
873	0.299999999999
874	0.6
875	0.6
876	0.6
877	0.4
878	0.4
879	0.4
880	0.200000000001
881	0.200000000001
882	0.200000000001
883	0.5
884	0.5
885	0.5
886	0.299999999999
887	0.299999999999
888	0.299999999999
889	0.6
890	0.6
891	0.6
892	0.4
893	0.4
894	0.4
895	0.200000000001
896	0.200000000001
897	0.200000000001
898	0.5
899	0.5
900	0.5
901	0.299999999999
902	0.299999999999
903	0.299999999999
904	0.599999999999
905	0.599999999999
906	0.599999999999
907	0.400000000001
908	0.400000000001
909	0.400000000001
910	0.200000000001
911	0.200000000001
912	0.200000000001
913	0.5
914	0.5
915	0.5
916	0.299999999999
917	0.299999999999
918	0.299999999999
919	0.599999999999
920	0.599999999999
921	0.599999999999
922	0.400000000001
923	0.400000000001
924	0.400000000001
925	0.200000000001
926	0.200000000001
927	0.200000000001
928	0.5
929	0.5
930	0.5
931	0.299999999999
932	0.299999999999
933	0.299999999999
934	0.599999999999
935	0.599999999999
936	0.599999999999
937	0.400000000001
938	0.400000000001
939	0.400000000001
940	0.200000000001
941	0.200000000001
942	0.200000000001
943	0.5
944	0.5
945	0.5
946	0.299999999999
947	0.299999999999
948	0.299999999999
949	0.599999999999
950	0.599999999999
951	0.599999999999
952	0.400000000001
953	0.400000000001
954	0.400000000001
955	0.200000000001
956	0.200000000001
957	0.200000000001
958	0.5
959	0.5
960	0.5
961	0.299999999999
962	0.299999999999
963	0.299999999999
964	0.599999999999
965	0.599999999999
966	0.599999999999
967	0.400000000001
968	0.400000000001
969	0.400000000001
970	0.200000000001
971	0.200000000001
972	0.200000000001
973	0.5
974	0.5
975	0.5
976	0.299999999999
977	0.299999999999
978	0.299999999999
979	0.599999999999
980	0.599999999999
981	0.599999999999
982	0.400000000001
983	0.400000000001
984	0.400000000001
985	0.200000000001
986	0.200000000001
987	0.200000000001
988	0.5
989	0.5
990	0.5
991	0.299999999999
992	0.299999999999
993	0.299999999999
994	0.599999999999
995	0.599999999999
996	0.599999999999
997	0.400000000001
998	0.400000000001
999	0.400000000001
1000	0.200000000001
